p,q,n,eMaxScore
0.5,0.05,1,31.50000000000003
0.55,0.05,1,28.66500000000001
0.6,0.05,1,25.830000000000013
0.65,0.05,1,22.99500000000002
0.7,0.05,1,20.160000000000004
0.75,0.05,1,17.325000000000028
0.8,0.05,1,14.490000000000006
0.8500000000000001,0.05,1,11.655000000000006
0.9,0.05,1,8.820000000000068
0.95,0.05,1,5.985000000000048
0.5,0.1,1,31.50000000000001
0.55,0.1,1,28.97999999999999
0.6,0.1,1,26.46000000000003
0.65,0.1,1,23.939999999999987
0.7,0.1,1,21.419999999999995
0.75,0.1,1,18.90000000000001
0.8,0.1,1,16.379999999999992
0.8500000000000001,0.1,1,13.860000000000007
0.9,0.1,1,11.34
0.95,0.1,1,8.820000000000084
0.5,0.15000000000000002,1,31.50000000000005
0.55,0.15000000000000002,1,29.29500000000003
0.6,0.15000000000000002,1,27.090000000000025
0.65,0.15000000000000002,1,24.88499999999998
0.7,0.15000000000000002,1,22.680000000000042
0.75,0.15000000000000002,1,20.475
0.8,0.15000000000000002,1,18.26999999999998
0.8500000000000001,0.15000000000000002,1,16.065000000000015
0.9,0.15000000000000002,1,13.860000000000015
0.95,0.15000000000000002,1,11.655000000000078
0.5,0.2,1,31.500000000000018
0.55,0.2,1,29.610000000000007
0.6,0.2,1,27.720000000000006
0.65,0.2,1,25.83000000000001
0.7,0.2,1,23.940000000000023
0.75,0.2,1,22.049999999999965
0.8,0.2,1,20.160000000000007
0.8500000000000001,0.2,1,18.270000000000017
0.9,0.2,1,16.38000000000001
0.95,0.2,1,14.489999999999995
0.5,0.25,1,31.499999999999982
0.55,0.25,1,29.925000000000026
0.6,0.25,1,28.349999999999994
0.65,0.25,1,26.77500000000001
0.7,0.25,1,25.20000000000004
0.75,0.25,1,23.624999999999968
0.8,0.25,1,22.050000000000004
0.8500000000000001,0.25,1,20.47499999999998
0.9,0.25,1,18.89999999999999
0.95,0.25,1,17.325000000000024
0.5,0.3,1,31.499999999999996
0.55,0.3,1,30.240000000000066
0.6,0.3,1,28.980000000000093
0.65,0.3,1,27.720000000000017
0.7,0.3,1,26.460000000000054
0.75,0.3,1,25.199999999999992
0.8,0.3,1,23.940000000000026
0.8500000000000001,0.3,1,22.679999999999996
0.9,0.3,1,21.420000000000016
0.95,0.3,1,20.159999999999965
0.5,0.35000000000000003,1,31.49999999999996
0.55,0.35000000000000003,1,30.554999999999993
0.6,0.35000000000000003,1,29.610000000000007
0.65,0.35000000000000003,1,28.66500000000002
0.7,0.35000000000000003,1,27.719999999999988
0.75,0.35000000000000003,1,26.77500000000005
0.8,0.35000000000000003,1,25.83000000000002
0.8500000000000001,0.35000000000000003,1,24.884999999999998
0.9,0.35000000000000003,1,23.94000000000002
0.95,0.35000000000000003,1,22.995000000000005
0.5,0.4,1,31.500000000000036
0.55,0.4,1,30.870000000000033
0.6,0.4,1,30.240000000000023
0.65,0.4,1,29.610000000000003
0.7,0.4,1,28.980000000000082
0.75,0.4,1,28.350000000000023
0.8,0.4,1,27.72000000000001
0.8500000000000001,0.4,1,27.090000000000018
0.9,0.4,1,26.46000000000001
0.95,0.4,1,25.83000000000003
0.5,0.45,1,31.500000000000078
0.55,0.45,1,31.185000000000027
0.6,0.45,1,30.870000000000044
0.65,0.45,1,30.555000000000014
0.7,0.45,1,30.240000000000073
0.75,0.45,1,29.92500000000002
0.8,0.45,1,29.610000000000017
0.8500000000000001,0.45,1,29.29500000000004
0.9,0.45,1,28.97999999999999
0.95,0.45,1,28.66500000000004
0.5,0.5,1,31.49999999999999
0.55,0.5,1,31.50000000000007
0.6,0.5,1,31.50000000000004
0.65,0.5,1,31.499999999999986
0.7,0.5,1,31.50000000000003
0.75,0.5,1,31.500000000000018
0.8,0.5,1,31.500000000000018
0.8500000000000001,0.5,1,31.500000000000057
0.9,0.5,1,31.500000000000057
0.95,0.5,1,31.500000000000043
0.5,0.55,1,31.50000000000008
0.55,0.55,1,31.81500000000006
0.6,0.55,1,32.13000000000007
0.65,0.55,1,32.44500000000005
0.7,0.55,1,32.76000000000002
0.75,0.55,1,33.07500000000009
0.8,0.55,1,33.39000000000003
0.8500000000000001,0.55,1,33.705000000000034
0.9,0.55,1,34.02000000000006
0.95,0.55,1,34.335000000000015
0.5,0.6000000000000001,1,31.500000000000018
0.55,0.6000000000000001,1,32.13000000000006
0.6,0.6000000000000001,1,32.760000000000026
0.65,0.6000000000000001,1,33.39000000000003
0.7,0.6000000000000001,1,34.02000000000004
0.75,0.6000000000000001,1,34.650000000000006
0.8,0.6000000000000001,1,35.280000000000015
0.8500000000000001,0.6000000000000001,1,35.91000000000002
0.9,0.6000000000000001,1,36.54000000000003
0.95,0.6000000000000001,1,37.17000000000005
0.5,0.6500000000000001,1,31.5
0.55,0.6500000000000001,1,32.44500000000006
0.6,0.6500000000000001,1,33.39000000000003
0.65,0.6500000000000001,1,34.33500000000007
0.7,0.6500000000000001,1,35.280000000000015
0.75,0.6500000000000001,1,36.225000000000016
0.8,0.6500000000000001,1,37.170000000000016
0.8500000000000001,0.6500000000000001,1,38.115000000000045
0.9,0.6500000000000001,1,39.06000000000005
0.95,0.6500000000000001,1,40.005000000000024
0.5,0.7000000000000001,1,31.500000000000057
0.55,0.7000000000000001,1,32.76000000000002
0.6,0.7000000000000001,1,34.02000000000004
0.65,0.7000000000000001,1,35.279999999999994
0.7,0.7000000000000001,1,36.54
0.75,0.7000000000000001,1,37.80000000000007
0.8,0.7000000000000001,1,39.06000000000005
0.8500000000000001,0.7000000000000001,1,40.32000000000004
0.9,0.7000000000000001,1,41.58000000000002
0.95,0.7000000000000001,1,42.84000000000005
0.5,0.7500000000000001,1,31.500000000000092
0.55,0.7500000000000001,1,33.075000000000095
0.6,0.7500000000000001,1,34.65000000000004
0.65,0.7500000000000001,1,36.225000000000065
0.7,0.7500000000000001,1,37.800000000000026
0.75,0.7500000000000001,1,39.37500000000003
0.8,0.7500000000000001,1,40.949999999999974
0.8500000000000001,0.7500000000000001,1,42.52500000000003
0.9,0.7500000000000001,1,44.1
0.95,0.7500000000000001,1,45.675000000000026
0.5,0.8,1,31.500000000000032
0.55,0.8,1,33.39000000000004
0.6,0.8,1,35.28000000000004
0.65,0.8,1,37.170000000000044
0.7,0.8,1,39.06000000000006
0.75,0.8,1,40.95000000000001
0.8,0.8,1,42.839999999999996
0.8500000000000001,0.8,1,44.73000000000003
0.9,0.8,1,46.620000000000026
0.95,0.8,1,48.510000000000005
0.5,0.8500000000000001,1,31.500000000000057
0.55,0.8500000000000001,1,33.705000000000055
0.6,0.8500000000000001,1,35.910000000000025
0.65,0.8500000000000001,1,38.11500000000006
0.7,0.8500000000000001,1,40.320000000000036
0.75,0.8500000000000001,1,42.525000000000006
0.8,0.8500000000000001,1,44.730000000000054
